name,area,power,max_arrival_time,dtype,dtype_order,architecture,operation,is_fast
multiplier_pipelined_fp32,6323.09,0.00905862,1.65,fp32,fp32,pipelined,multiplier,False
multiplier_pipelined_fp8,473.746,0.000716672,0.68,fp8,fp8,pipelined,multiplier,False
multiplier_stage_2_bf16,551.418,0.00124588,0.86,bf16,bf16,stage_2,multiplier,False
multiplier_stage_2_fast_bf16,552.482,0.00118352,0.91,bf16,bf16,stage_2,multiplier,True
multiplier_stage_2_fast_fp32,4149.6,0.0292743,1.46,fp32,fp32,stage_2,multiplier,True
multiplier_stage_2_fast_fp8,162.26,0.000161324,0.55,fp8,fp8,stage_2,multiplier,True
multiplier_stage_2_fp32,4009.42,0.0317692,1.51,fp32,fp32,stage_2,multiplier,False
multiplier_stage_2_fp8,165.186,0.000164563,0.5,fp8,fp8,stage_2,multiplier,False
multiplier_stage_3_bf16,132.468,4.80459e-05,0.28,bf16,bf16,stage_3,multiplier,False
multiplier_stage_3_fast_bf16,134.064,4.84747e-05,0.29,bf16,bf16,stage_3,multiplier,True
multiplier_stage_3_fast_fp32,319.466,8.04445e-05,0.42,fp32,fp32,stage_3,multiplier,True
multiplier_stage_3_fast_fp8,71.82,2.72315e-05,0.23,fp8,fp8,stage_3,multiplier,True
multiplier_stage_3_fp32,322.392,8.80949e-05,0.42,fp32,fp32,stage_3,multiplier,False
multiplier_stage_3_fp8,71.82,2.72315e-05,0.23,fp8,fp8,stage_3,multiplier,False
multiplier_stage_4_bf16,366.548,0.000207012,0.94,bf16,bf16,stage_4,multiplier,False
multiplier_stage_4_fast_bf16,352.982,0.000216456,0.69,bf16,bf16,stage_4,multiplier,True
multiplier_stage_4_fast_fp32,1253.66,0.000553272,1.07,fp32,fp32,stage_4,multiplier,True
multiplier_stage_4_fast_fp8,160.132,0.000118213,0.65,fp8,fp8,stage_4,multiplier,True
multiplier_stage_4_fp32,1285.58,0.000567724,1.24,fp32,fp32,stage_4,multiplier,False
multiplier_stage_4_fp8,148.162,9.70021e-05,0.74,fp8,fp8,stage_4,multiplier,False
